;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;9;10;0;1258;20;41;38;2;0;0.12;0.69
Neutral;0;0;0;3;0;93;0;4;5;1;0;0.19;0.89
Binary;0;0;4;0;0;194;1;3;8;2;0;0.12;0.84
Queer Identity;0;2;12;95;1;1974;27;86;27;2;0;0.02;0.72
Queer Orientation;0;7;9;57;3;1502;24;70;24;0;0;0.03;0.74
Queer Other;0;1;12;45;4;1125;12;57;15;1;0;0.03;0.74
Non Queer Identity;0;1;12;22;0;749;11;31;20;2;0;0.06;0.8
Non Queer Orientation;0;0;10;6;0;277;7;14;4;0;0;0.01;0.81
Non Queer Other;0;0;2;4;0;193;4;8;1;0;0;0.04;0.61
Queer;0;10;33;197;8;4601;63;213;66;3;0;0.03;0.73
Non Queer;0;1;24;32;0;1219;22;53;25;2;0;0.05;0.78
