;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;42.0;1.0;52.0;6.0;2.0;1378.0;7.47
Neutral;3.0;0.0;3.0;0.0;0.0;106.0;5.66
Binary;11.0;0.0;11.0;1.0;0.0;212.0;10.84
Queer Identity;253.0;263.0;185.0;3.0;18.0;2226.0;32.43
Queer Orientation;324.0;316.0;210.0;8.0;15.0;1696.0;51.47
Queer Other;141.0;163.0;93.0;2.0;9.0;1272.0;32.07
Non Queer Identity;90.0;23.0;84.0;5.0;7.0;848.0;24.64
Non Queer Orientation;83.0;92.0;35.0;0.0;3.0;318.0;66.98
Non Queer Other;24.0;20.0;16.0;0.0;1.0;212.0;28.77
Queer;718.0;742.0;488.0;13.0;42.0;5194.0;38.56
Non Queer;197.0;135.0;135.0;5.0;11.0;1378.0;35.05
