;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;37.0;2.0;45.0;15.0;4.0;1378.0;7.47
Neutral;2.0;0.0;2.0;0.0;2.0;106.0;5.66
Binary;8.0;0.0;10.0;4.0;0.0;212.0;10.37
Queer Identity;198.0;244.0;121.0;20.0;17.0;2226.0;26.95
Queer Orientation;209.0;237.0;124.0;6.0;9.0;1696.0;34.49
Queer Other;122.0;138.0;66.0;27.0;6.0;1272.0;28.22
Non Queer Identity;50.0;24.0;41.0;14.0;6.0;848.0;15.91
Non Queer Orientation;35.0;52.0;15.0;1.0;0.0;318.0;32.38
Non Queer Other;15.0;18.0;8.0;1.0;3.0;212.0;21.22
Queer;529.0;619.0;311.0;53.0;32.0;5194.0;29.72
Non Queer;100.0;94.0;64.0;16.0;9.0;1378.0;20.53
