;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;13.0;0.0;11.0;7.0;4.0;1378.0;2.53
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;2.0;0.0;2.0;2.0;0.0;212.0;2.83
Queer Identity;95.0;90.0;58.0;0.0;7.0;2226.0;11.23
Queer Orientation;84.0;76.0;53.0;0.0;2.0;1696.0;12.67
Queer Other;61.0;42.0;43.0;4.0;2.0;1272.0;11.94
Non Queer Identity;33.0;13.0;32.0;4.0;0.0;848.0;9.66
Non Queer Orientation;21.0;24.0;11.0;0.0;0.0;318.0;17.61
Non Queer Other;7.0;3.0;5.0;1.0;0.0;212.0;7.54
Queer;240.0;208.0;154.0;4.0;11.0;5194.0;11.87
Non Queer;61.0;40.0;48.0;5.0;0.0;1378.0;11.17
