;Toxicity;Identity attack;insult;Profanity;Threat;Score
Neo;92.0;7.0;70.0;36.0;57.0;19.01
Neutral;4.0;0.0;2.0;1.0;3.0;9.43
Binary;12.0;0.0;8.0;5.0;7.0;15.09
Queer Identity;323.0;349.0;150.0;10.0;65.0;40.29
Queer Orientation;264.0;294.0;114.0;5.0;21.0;41.15
Queer Other;193.0;187.0;100.0;13.0;17.0;40.09
Non Queer Identity;108.0;45.0;82.0;12.0;31.0;32.78
Non Queer Orientation;66.0;98.0;27.0;5.0;2.0;11.67
Non Queer Other;29.0;18.0;15.0;4.0;10.0;35.84
Queer;780.0;830.0;364.0;28.0;103.0;40.52
Non Queer;203.0;161.0;124.0;21.0;43.0;40.05
