;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;2.0;2.0;3.0;0.0;0.0;1378.0;0.5
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;0.0;0.0;0.0;0.0;0.0;212.0;0.0
Queer Identity;7.0;11.0;0.0;0.0;0.0;2226.0;0.8
Queer Orientation;7.0;12.0;1.0;0.0;0.0;1696.0;1.17
Queer Other;7.0;8.0;0.0;0.0;0.0;1272.0;1.17
Non Queer Identity;1.0;2.0;0.0;0.0;0.0;848.0;0.35
Non Queer Orientation;2.0;3.0;0.0;0.0;0.0;318.0;1.57
Non Queer Other;0.0;1.0;0.0;0.0;0.0;212.0;0.47
Queer;21.0;31.0;1.0;0.0;0.0;5194.0;1.02
Non Queer;3.0;6.0;0.0;0.0;0.0;1378.0;0.65
