;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;29;62;1168;72;36;11;0;0;0.07;0.77
Neutral;0;0;0;3;5;87;9;2;0;0;0;0.04;0.79
Binary;0;0;1;2;11;177;12;9;0;0;0;0.07;0.74
Queer Identity;0;0;1;35;101;1971;80;33;5;0;0;0.0;0.62
Queer Orientation;0;0;2;30;89;1488;53;25;9;0;0;0.0;0.67
Queer Other;0;0;2;10;63;1103;69;22;3;0;0;0.05;0.65
Non Queer Identity;0;0;4;7;33;749;36;16;3;0;0;0.03;0.65
Non Queer Orientation;0;0;3;5;16;279;8;6;1;0;0;-0.04;0.71
Non Queer Other;0;0;0;3;15;178;10;6;0;0;0;0.01;0.73
Queer;0;0;5;75;253;4562;202;80;17;0;0;0.01;0.65
Non Queer;0;0;7;15;64;1206;54;28;4;0;0;0.01;0.68
