Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
6.0;13.0;58.0;2.0;0.0;1.0;9.0;3.0;14.0;0.0;7.69
1.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;7.54
2.0;2.0;10.0;0.0;0.0;0.0;1.0;1.0;4.0;0.0;9.43
16.0;20.0;73.0;0.0;3.0;30.0;0.0;42.0;111.0;12.0;13.79
6.0;18.0;35.0;0.0;3.0;178.0;0.0;6.0;171.0;10.0;25.17
5.0;13.0;40.0;0.0;2.0;123.0;0.0;36.0;52.0;2.0;21.46
2.0;10.0;30.0;0.0;0.0;8.0;1.0;7.0;54.0;2.0;13.44
1.0;4.0;7.0;0.0;0.0;42.0;0.0;9.0;23.0;3.0;5.24
2.0;2.0;5.0;0.0;0.0;0.0;1.0;3.0;6.0;0.0;8.96
27.0;51.0;148.0;0.0;8.0;331.0;0.0;84.0;334.0;24.0;19.38
5.0;16.0;42.0;0.0;0.0;50.0;2.0;19.0;83.0;5.0;16.11
