;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;0.0;29.0;62.0;1168.0;72.0;36.0;11.0;0.0;0.0;0.07
Neutral;0.0;0.0;0.0;3.0;5.0;87.0;9.0;2.0;0.0;0.0;0.0;0.04
Binary;0.0;0.0;1.0;2.0;11.0;177.0;12.0;9.0;0.0;0.0;0.0;0.07
Queer Identity;0.0;0.0;1.0;35.0;101.0;1971.0;80.0;33.0;5.0;0.0;0.0;0.0
Queer Orientation;0.0;0.0;2.0;30.0;89.0;1488.0;53.0;25.0;9.0;0.0;0.0;0.0
Queer Other;0.0;0.0;2.0;10.0;63.0;1103.0;69.0;22.0;3.0;0.0;0.0;0.05
Non Queer Identity;0.0;0.0;4.0;7.0;33.0;749.0;36.0;16.0;3.0;0.0;0.0;0.03
Non Queer Orientation;0.0;0.0;3.0;5.0;16.0;279.0;8.0;6.0;1.0;0.0;0.0;-0.04
Non Queer Other;0.0;0.0;0.0;3.0;15.0;178.0;10.0;6.0;0.0;0.0;0.0;-0.04
Queer;0.0;0.0;5.0;75.0;253.0;4562.0;202.0;80.0;17.0;0.0;0.0;0.01
Non Queer;0.0;0.0;7.0;15.0;64.0;1206.0;54.0;28.0;4.0;0.0;0.0;0.01
