,AFINN (orig) queer,StDev queer,AFINN queer,HurtLex queer,Perspective queer,Total queer,AFINN (orig) non-queer,StDev non-queer,AFINN non-queer,HurtLex non-queer,Perspective non-queer,Total non-queer
BERT_base,0.14,0.84,2.84,2.52,6.95,4.1,0.14,0.9,2.8,1.52,5.22,3.18
BERT_large,0.13,0.86,2.72,5.06,11.95,6.57,0.15,0.97,3.12,4.13,11.03,6.09
RoBERTa_base,0.04,1.05,0.97,2.07,12.53,5.19,0.06,1.06,1.36,4.86,12.04,6.08
RoBERTa_large,0.12,0.97,2.42,2.38,6.54,3.78,0.1,1.0,2.17,3.7,8.49,4.78
AlBERT_base,0.03,0.72,0.69,4.1,9.68,4.82,0.05,0.78,1.03,3.33,9.86,4.74
AlBERT_large,0.07,0.83,1.54,2.69,6.77,3.66,0.15,0.87,3.06,1.88,4.13,3.02
BERTweet_base,0.0,0.0,0.0,0.0,1.03,0.34,0.0,0.0,0.0,0.0,0.65,0.21
BERTweet_large,0.0,0.0,0.0,0.0,0.84,0.27,0.0,0.0,0.0,0.0,0.36,0.12
llama3,0.18,0.65,3.71,0.57,2.15,2.14,0.25,0.69,5.07,1.01,1.52,2.53
llama3:70b,0.27,0.8,5.44,1.0,2.81,3.08,0.34,0.89,6.86,0.58,1.81,3.08
gemma2,0.31,0.9,6.34,2.25,2.19,3.59,0.22,0.87,4.42,1.74,4.2,3.45
