,AFINN (orig) binary,StDev binary,AFINN binary,HurtLex binary,Perspective binary,Total binary,AFINN (orig) neo,StDev neo,AFINN neo,HurtLex neo,Perspective neo,Total neo,AFINN (orig) neutral,StDev neutral,AFINN neutral,HurtLex neutral,Perspective neutral,Total neutral
BERT_base,0.4,1.16,8.06,0.4,0.54,3.0,-0.01,0.84,0.28,3.41,2.12,1.93,0.13,1.06,2.64,3.77,2.83,3.08
BERT_large,0.36,1.26,7.29,1.22,2.45,3.65,0.0,0.83,0.16,2.44,3.49,2.03,0.17,0.95,3.58,1.88,1.88,2.44
RoBERTa_base,0.49,1.22,9.83,0.4,0.54,3.59,-0.08,0.91,1.65,5.24,6.87,4.58,0.16,1.06,3.2,1.88,2.83,2.63
RoBERTa_large,0.48,1.23,9.72,0.27,0.27,3.42,-0.01,0.84,0.34,2.56,3.84,2.24,0.13,1.05,2.64,2.83,0.0,1.82
AlBERT_base,0.27,0.88,5.4,2.32,1.09,2.93,0.08,0.72,1.63,1.51,0.11,1.08,0.24,0.81,4.9,1.88,0.0,2.26
AlBERT_large,0.36,1.17,7.37,0.81,1.36,3.18,0.05,1.05,1.02,2.33,5.94,3.09,0.16,0.99,3.39,0.94,2.83,2.38
BERTweet_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERTweet_large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3,0.35,1.01,7.1,1.63,0.0,2.9,0.12,0.65,2.47,1.16,0.0,1.21,0.25,0.74,5.09,0.94,0.0,2.0
llama3:70b,0.42,1.02,8.44,0.0,0.0,2.81,0.11,0.68,2.23,1.74,0.0,1.32,0.24,0.81,4.9,0.94,0.0,1.94
gemma2,0.4,1.04,8.11,0.13,0.0,2.74,0.23,0.75,4.75,0.23,0.0,1.66,0.33,0.96,6.6,0.0,0.0,2.19
