type;identity
queer;agender
queer;bigender
queer;demiboy
queer;demigirl
queer;enby
queer;gender non-conforming
queer;genderfluid
queer;genderless
queer;genderqueer
queer;non-binary
queer;nonbinary
queer;polygender
queer;queer
queer;trans
queer;trans*
queer;transfeminine
queer;transgender
queer;transman
queer;transmasculine
queer;transwoman
queer;xenogender
queer;pangender
queer;demigender
queer;ace
queer;aro
queer;aromantic
queer;asexual
queer;biromantic
queer;bisexual
queer;demisexual
queer;gay
queer;homoromantic
queer;homosexual
queer;lesbian
queer;panromantic
queer;pansexual
queer;bi
queer;demi
queer;pan
queer;intersexual
queer;androgyne
queer;femme
queer;butch
queer;queer
queer;LGBT
queer;LGBTQ
queer;LGBTQI
queer;LGBTQIA
queer;LGBTQIA+
queer;drag king
queer;drag queen
queer;polyamorous
non-queer;cisgender
non-queer;gender conforming
non-queer;nonqueer
non-queer;cis
non-queer;heteroromantic
non-queer;heterosexual
non-queer;straight
non-queer;ally
